word,rank,frequency,source,level,tags,translation,bnc,frq
darkness,2270,0.00037750,ecdict_education,gk,gk,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知",2508,2649
clothing,2271,0.00037736,ecdict_education,gk,gk cet4 ielts toefl,n. 衣服,3372,2650
super,2272,0.00037722,ecdict_education,gk,gk cet4 cet6,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人\na. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的\nadv. 非常",4154,2651
fence,2273,0.00037693,ecdict_education,gk,gk cet4 cet6,"n. 围墙, 栅栏, 买卖赃物的人, 剑术\nvt. 用篱笆围住, 练习剑术, 防护\nvi. 击剑, 搪塞",3306,2653
survival,2274,0.00037651,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 生存, 残存, 幸存者\na. 赖以生存的",2584,2656
bunch,2275,0.00037622,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 串, 束\n[医] 骨肿块(马)",4503,2658
found,2276,0.00037538,ecdict_education,gk,gk cet4 cet6,"vt. 建立, 创立, 铸造\nfind的过去式和过去分词",2608,2664
burden,2277,0.00037523,ecdict_education,gk,gk cet4 cet6 toefl,"n. 负担, 重载, 担子, 责任\nvt. 装货于, 烦扰, 使负担",2696,2665
react,2278,0.00037509,ecdict_education,gk,gk cet4 cet6 toefl,"vi. 起反应, 起作用, 反攻\n[医] 应答, 发生反应",2923,2666
ceremony,2279,0.00037453,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 典礼, 仪式, 礼节\n[法] 典礼, 仪式",3313,2670
string,2280,0.00037439,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 线, 细绳, 一串, 字符串\nvt. 串起, 成串, 收紧, 缚, 扎\nvi. 成一串\n[计] 字符串, 串",2170,2671
cheek,2281,0.00037397,ecdict_education,gk,gk cet4 cet6,"n. 颊, 厚颜, 脸蛋\n[医] 颊",2456,2674
disagree,2282,0.00037327,ecdict_education,gk,gk cet4 cet6,"vi. 不一致, 不适宜\n[法] 抵触, 不同意, 争执",4677,2679
tissue,2283,0.00037202,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套\n[化] 组织",2784,2688
broken,2284,0.00037120,ecdict_education,gk,gk cet4,"a. 坏掉的, 打破的, 断掉的\nbreak的过去分词",2747,2694
literary,2285,0.00037037,ecdict_education,gk,gk cet4 cet6 toefl,"a. 文学的, 文艺的, 精通文学的\n[法] 文学的, 从事文学的, 从事写作的",2512,2700
virus,2286,0.00037023,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 病毒, 滤过性病毒, 毒害\n[化] 病毒",3589,2701
fortune,2287,0.00036996,ecdict_education,gk,gk cet4 cet6 toefl,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运\n[法] 命运, 财产, 大量财产",2626,2703
assistant,2288,0.00036955,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 助手, 助理, 助教\na. 有帮助的, 辅助的, 助理的",2875,2706
overcome,2289,0.00036941,ecdict_education,gk,gk cet4 cet6 ielts toefl,"vt. 战胜, 克服, 胜过\nvi. 得胜",2462,2707
statistics,2290,0.00036914,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 统计学, 统计资料\n[计] 统计信息",2602,2709
wipe,2291,0.00036887,ecdict_education,gk,gk cet4 cet6,"n. 擦拭, 用力打, 凸轮\nvt. 擦, 揩, 消灭, 涂上, 拭去\nvi. 擦, 打",3112,2711
shopping,2292,0.00036860,ecdict_education,gk,gk cet4 cet6 ielts,"n. 买东西, 购物\n[经] 购物, 买东西",2763,2713
port,2293,0.00036805,ecdict_education,gk,gk cet4 cet6 ielts,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义\nvt. 左转舵, 持(枪)\nvi. 左转舵\n[计] 端口, 移植",2165,2717
electricity,2294,0.00036778,ecdict_education,gk,gk cet4 cet6 ielts,"n. 电, 电流, 电学, 热情, 电力供应\n[化] 电学; 电",2296,2719
latter,2295,0.00036697,ecdict_education,gk,gk cet4 cet6 toefl,"a. 后者的, 较后的, 近来的",1251,2725
slave,2296,0.00036670,ecdict_education,gk,gk cet4 cet6 toefl,"n. 奴隶, 从动装置, 卑鄙的人\nvi. 拼命工作\n[计] 从设备",3948,2727
terror,2297,0.00036603,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 恐怖, 可怕的人\n[医] 惊吓, 惊悸",4120,2732
olympic,2298,0.00036550,ecdict_education,gk,gk ielts,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的",4877,2736
dirt,2299,0.00036536,ecdict_education,gk,gk cet4,"n. 污垢, 泥土\n[化] 污垢",5597,2737
tight,2300,0.00036483,ecdict_education,gk,gk cet4 cet6 toefl,"a. 紧的, 密封的, 吝啬的, 严厉的\nadv. 紧紧地",2805,2741
chart,2301,0.00036456,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 图表, 海图\nvt. 制成图表\n[计] 图表",2961,2743
solar,2302,0.00036443,ecdict_education,gk,gk cet4 cet6 ielts toefl,"a. 太阳的, 日光的, 源自太阳的\n[医] 太阳的; 腹腔丛的",4774,2744
revolution,2303,0.00036324,ecdict_education,gk,gk cet4 cet6 toefl,"n. 革命, 大变革, 旋转, 转数, 循环\n[化] 回转",1858,2753
champion,2304,0.00036258,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 冠军, 拥护者, 战士\nvt. 保卫, 拥护\na. 优胜的",1938,2758
telescope,2305,0.00036245,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 望远镜\nvi. 叠缩, 嵌进, 缩短\nvt. 使叠缩, 使缩短",8217,2759
tournament,2306,0.00036219,ecdict_education,gk,gk ielts toefl gre,"n. 比赛, 竞赛, 锦标赛, 联赛",3482,2761
fiction,2307,0.00036206,ecdict_education,gk,gk cet4 cet6 toefl,"n. 小说, 虚构故事\n[法] 虚构的事实, 捏造, 拟制",3431,2762
lifetime,2308,0.00036140,ecdict_education,gk,gk cet4 cet6,"n. 一生, 终生\na. 一生的, 终生的",3623,2767
guarantee,2309,0.00036049,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 担保, 抵押品, 保证书\nvt. 保证, 担保",2525,2774
innocent,2310,0.00036036,ecdict_education,gk,gk cet4 cet6 ielts toefl,"a. 无罪的, 不懂事的, 无知的\nn. 天真的人, 笨蛋",3421,2775
boundary,2311,0.00036023,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 边界, 分界线\n[计] 边界",2050,2776
pause,2312,0.00036010,ecdict_education,gk,gk cet4 cet6,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符\nvi. 暂停, 中止, 停顿, 踌躇\n[计] DOS内部命令:暂时停止批处理文件的执行",2566,2777
remote,2313,0.00035997,ecdict_education,gk,gk cet4 cet6 toefl,"a. 遥远的, 偏僻的, 疏远的, 微少的\n[计] 远程, 远程访问实用程序",2684,2778
satisfaction,2314,0.00035984,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会\n[经] 偿还, 赎回",2683,2779
bench,2315,0.00035945,ecdict_education,gk,gk cet4 cet6 gre,n. 长椅子\n[机] 台,2942,2782
raw,2316,0.00035932,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 擦伤处, 半成品\na. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的\nvt. 擦伤\n[计] 写后读",2999,2783
withdraw,2317,0.00035894,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开\nvi. 撤退, 离开",1920,2786
pole,2318,0.00035855,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端\nvt. 用竿支撑\nvi. 撑篙",2946,2789
valley,2319,0.00035804,ecdict_education,gk,gk cet4 cet6 ielts,"n. 山谷, 溪谷, 流域, 凹地\n[医] 谷",1795,2793
aircraft,2320,0.00035676,ecdict_education,gk,gk cet4 toefl,"n. 航空器, 飞机\n[机] 航空器",1538,2803
platform,2321,0.00035638,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 站台, 月台, 讲台, 论坛, 平台\n[计] 平台",2491,2806
finance,2322,0.00035613,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 财政, 财务\nvt. 供给...经费, 负担经费\nvi. 筹措资金",1515,2808
sink,2323,0.00035600,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 藏垢的场所, 沟渠, 污水槽\nvi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透\nvt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘",2585,2809
bake,2324,0.00035587,ecdict_education,gk,gk cet4 ielts,"vt. 烘焙, 烤\nvi. 烤面包\nn. 烘焙, 烤",6122,2810
attractive,2325,0.00035575,ecdict_education,gk,gk cet4 ielts toefl,"a. 吸引人的, 有魅力的\n[法] 有吸引力的, 有迷惑力的",1781,2811
diverse,2326,0.00035549,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"a. 不同的, 变化多的",4813,2813
relevant,2327,0.00035537,ecdict_education,gk,gk cet4 cet6 ielts toefl,"a. 有关联的, 有关系的, 适当的, 相应的\n[法] 有关的, 相关的",1241,2814
conservation,2328,0.00035461,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 保护, 保存\n[医] 保存",3076,2820
shooting,2329,0.00035436,ecdict_education,gk,gk,"n. 发射, 猎场, 射击",4728,2822
singer,2330,0.00035423,ecdict_education,gk,gk cet4 cet6,n. 歌手,3552,2823
partly,2331,0.00035411,ecdict_education,gk,gk cet4 cet6,"adv. 部分地, 在一定程度上",1638,2824
unknown,2332,0.00035398,ecdict_education,gk,gk cet4 cet6,"a. 不知道的, 未知的, 陌生的\nn. 未知物, 未知数",2087,2825
counter,2333,0.00035336,ecdict_education,gk,gk cet4 cet6 ielts,"n. 计算器, 计算者, 柜台, 筹码\na. 反方向的, 相反的\nadv. 反方向地, 相反地\n[计] 计数器; 计数字",3493,2830
crash,2334,0.00035249,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 哗啦声, 猛撞, 崩溃, 粗布\nv. 撞碎, 破碎, (使)...坠毁\na. 速成的\n[计] 崩溃",3197,2837
possess,2335,0.00035186,ecdict_education,gk,gk cet4 cet6 toefl,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住\n[法] 持有, 占有, 具有",2129,2842
tap,2336,0.00035174,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 轻打, 水龙头\nvt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨\nvi. 轻叩, 轻拍, 啪塔啪塔地走\n[计] 接头",3299,2843
fault,2337,0.00035100,ecdict_education,gk,gk cet4 ielts toefl gre,"n. 过错, 故障, 毛病\nvt. 挑剔\nvi. 产生断层, 弄错\n[计] 故障",2076,2849
tire,2338,0.00035088,ecdict_education,gk,gk cet4 cet6 toefl gre,"n. 轮胎, 头饰\nvt. 使疲倦, 使厌烦, 打扮\nvi. 疲劳, 厌倦",11152,2850
loose,2339,0.00035075,ecdict_education,gk,gk cet4 cet6 toefl,"n. 发射, 放任, 放纵\na. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的\nvt. 释放, 放枪, 开船\nvi. 变松, 开火\nadv. 松散地",2925,2851
shortly,2340,0.00035051,ecdict_education,gk,gk cet4 cet6,"adv. 不久, 简短, 唐突地",2278,2853
adventure,2341,0.00034941,ecdict_education,gk,gk cet4 toefl,"n. 冒险, 冒险经历\nv. 冒险",3561,2862
stair,2342,0.00034928,ecdict_education,gk,gk cet4 cet6,"n. 梯级, 楼梯, 阶梯",,2863
confident,2343,0.00034892,ecdict_education,gk,gk cet4 cet6 ielts toefl,"a. 有信心的, 有把握的",2580,2866
shelter,2344,0.00034795,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽\nvt. 庇护, 保护, 隐匿\nvi. 躲避",4083,2874
entrance,2345,0.00034758,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任\nvt. 使出神, 使入迷\n[计] 入口",2465,2877
properly,2346,0.00034722,ecdict_education,gk,gk cet4 cet6,"adv. 适当地, 相当地",1634,2880
fade,2347,0.00034698,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"vi. 褪色, 消失, 凋谢\nvt. 使褪色\nn. 淡入, 淡出\na. 平淡的",3506,2882
net,2348,0.00034674,ecdict_education,gk,gk cet4 cet6 toefl,"n. 网, 网状物, 罗网, 净利, 净价\na. 净的, 最终的\nvt. 用网捕, 撒网, 净赚, 得到\nvi. 编网\n[计] 网络, 网络分析程序",2189,2884
funeral,2349,0.00034662,ecdict_education,gk,gk cet4 cet6 ielts,"n. 葬礼, 出殡",3009,2885
profession,2350,0.00034650,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 职业, 表白, 声明\n[化] 工种; 职业",2211,2886
squeeze,2351,0.00034590,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 紧握, 挤, 榨, 榨取, 佣金\nvt. 紧握, 挤, 榨取\nvi. 压榨, 榨",3390,2891
mask,2352,0.00034566,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 面具, 假面具, 掩饰, 石膏面模\nvt. 戴面具, 掩饰, 使模糊\nvi. 化装, 戴面具, 掩饰, 参加化装舞会\n[计] 屏蔽; 掩码",4312,2893
presentation,2353,0.00034507,ecdict_education,gk,gk cet6 ielts gre,"n. 赠与, 描述, 介绍\n[计] 简报",2313,2898
regardless,2354,0.00034495,ecdict_education,gk,gk cet4 cet6 ielts toefl,"a. 不管, 不注意, 不顾",4283,2899
load,2355,0.00034471,ecdict_education,gk,gk cet4 cet6 toefl,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载\nvt. 装载, 装填, 使担负\nvi. 装货, 上客, 装料\n[计] 加载, 装入程序",2212,2901
stable,2356,0.00034447,ecdict_education,gk,gk cet4 cet6 toefl,"n. 马房, 牛棚\na. 稳定的, 安定的, 坚固的, 坚定的\nvt. 赶入马房\nvi. 被关在马厩",2637,2903
pretend,2357,0.00034423,ecdict_education,gk,gk cet4 cet6 toefl gre,"v. 假装, 伪称, 自命, 自称",2885,2905
violate,2358,0.00034376,ecdict_education,gk,gk cet6 ielts toefl gre,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍\n[经] 违犯, 违反",7012,2909
split,2359,0.00034364,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条\na. 劈开的\nvi. 分离, 分开, 裂开, 被劈开\nvt. 劈开, 切开, 使分裂, 使分离\n[计] 拆分",2573,2910
deer,2360,0.00034352,ecdict_education,gk,gk cet4 cet6,n. 鹿,6143,2911
pollution,2361,0.00034329,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 污染, 玷污\n[化] 污染",2147,2913
steady,2362,0.00034317,ecdict_education,gk,gk cet4 cet6 ielts toefl,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的\nvt. 使稳定, 使坚定\nvi. 变为沉着, 稳固",2922,2914
vital,2363,0.00034294,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的\n[医] 生命的, 生活的, 生活上必需的, 紧要的",1803,2916
distinction,2364,0.00034235,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,n. 区别,1865,2921
poet,2365,0.00034211,ecdict_education,gk,gk cet4 cet6 toefl,n. 诗人,2613,2923
nowhere,2366,0.00034200,ecdict_education,gk,gk cet4 cet6 ielts,"adv. 无处, 到处都无",3107,2924
comfort,2367,0.00034153,ecdict_education,gk,gk cet4 cet6,"n. 舒适, 安慰, 安慰者\nvt. 安慰",2827,2928
irish,2368,0.00034130,ecdict_education,gk,gk,"n. 爱尔兰人, 爱尔兰语\na. 爱尔兰的",1592,2930
honey,2369,0.00034106,ecdict_education,gk,gk cet4,"n. 蜂蜜, 甜蜜, 爱人\na. 蜂蜜似的, 甜蜜的, 甘美的\nvt. 加蜜使甜, 对...说甜言蜜语\nvi. 说甜言蜜语, 奉承",5334,2932
adapt,2370,0.00034095,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"vt. 使适应, 改编\nvi. 适应",2816,2933
musician,2371,0.00034060,ecdict_education,gk,gk cet4 cet6,"n. 音乐家, 乐师, 作曲家",3697,2936
significance,2372,0.00034048,ecdict_education,gk,gk cet4 cet6 toefl,"n. 重要性, 意义, 意味\n[计] 有效; 有效性",1922,2937
storage,2373,0.00034002,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 存储器, 储藏, 保管, 库存, 仓库\n[计] 存放处; 存储",2703,2941
flee,2374,0.00033990,ecdict_education,gk,gk cet4 cet6 ielts toefl,"vt. 逃避, 逃跑, 逃走\nvi. 逃, 消失",3410,2942
leather,2375,0.00033979,ecdict_education,gk,gk cet4 cet6 toefl,"n. 皮革, 皮制品, 马镫的皮带\nvt. 覆以皮革, 鞭苔, 抽打\na. 皮革的, 皮制的",2976,2943
distribute,2376,0.00033967,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"vt. 分配, 散布, 分发\n[经] 分配, 分发",2662,2944
evolution,2377,0.00033944,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 进化, 发展, 进展, (气体)放出, 开方\n[医] 进化, 演化, 旋出",3069,2946
wisdom,2378,0.00033852,ecdict_education,gk,gk cet4 cet6 ielts,"n. 智慧, 明智行为, 学识, 名言, 贤人",4281,2954
garlic,2379,0.00033829,ecdict_education,gk,gk cet6,n. 大蒜\n[化] 大蒜,6745,2956
gradually,2380,0.00033772,ecdict_education,gk,gk cet4 cet6,adv. 逐渐地,2325,2961
fantasy,2381,0.00033738,ecdict_education,gk,gk cet4 ielts toefl gre,"n. 幻想, 想象的产物\n[医] 幻想",3642,2964
plot,2382,0.00033704,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 小块土地, 地区图, 图, 阴谋, 情节\nvt. 划分, 绘图, 密谋\nvi. 密谋, 策划\n[计] 绘制",3096,2967
framework,2383,0.00033693,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 结构, 骨架, 参照标准, 准则, 观点\n[医] 构架组织",2177,2968
psychology,2384,0.00033647,ecdict_education,gk,gk cet6 ielts toefl gre,"n. 心理学, 心理状态\n[医] 心理学",2980,2972
chapter,2385,0.00033602,ecdict_education,gk,gk cet4 cet6 ielts,"n. 章, 篇, 重要章节\n[计] 章; 段",593,2976
divorce,2386,0.00033580,ecdict_education,gk,gk cet4 cet6 ielts toefl,n. 离婚\nvt. 与...离婚,3853,2978
owe,2387,0.00033568,ecdict_education,gk,gk cet4 cet6 ielts,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩\nvi. 欠钱",2323,2979
pipe,2388,0.00033557,ecdict_education,gk,gk cet4 cet6,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器\nvt. 以管输送, 吹哨子, 吹奏, 尖声唱\nvi. 吹笛, 尖叫, 吹长哨发令\n[计] 管道",2438,2980
athletic,2389,0.00033546,ecdict_education,gk,gk cet6,a. 运动的,8781,2981
slight,2390,0.00033535,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 轻蔑, 怠慢\na. 轻微的, 纤细的, 脆弱的, 苗条的\nvt. 轻视, 忽略, 怠慢",2237,2982
shade,2391,0.00033512,ecdict_education,gk,gk cet4 cet6 toefl,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹\nvi. 渐变\nvt. 使阴暗, 使渐变, 遮蔽, 微减\n[计] 底纹",3205,2984
angle,2392,0.00033456,ecdict_education,gk,gk cet4 toefl,"n. 角, 角度, 角落\nvi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度\nvt. 使转动角度, 在...钓鱼, 获取",2346,2989
differ,2393,0.00033445,ecdict_education,gk,gk cet4 cet6 ielts,"vi. 不一致, 不同\n[机] 差异, 不同",2552,2990
custom,2394,0.00033411,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 习惯, 风俗, 海关, 自定义\na. 定制的\n[计] 定制; 自定义",2344,2993
celebration,2395,0.00033378,ecdict_education,gk,gk,"n. 庆祝, 庆典",3379,2996
pile,2396,0.00033300,ecdict_education,gk,gk cet4 cet6 toefl,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮\nvi. 堆起, 堆积, 积累, 挤, 猛烈攻击\nvt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑",3229,3003
carbon,2397,0.00033289,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 碳, 副本, 复写纸\n[化] 碳",3062,3004
consume,2398,0.00033267,ecdict_education,gk,gk cet4 cet6 toefl,"vt. 消耗, 消费, 消灭\nvi. 耗尽, 毁灭",3627,3006
tobacco,2399,0.00033223,ecdict_education,gk,gk cet4 cet6 toefl,"n. 烟草, 香烟\n[医] 烟草",4278,3010
wealthy,2400,0.00033167,ecdict_education,gk,gk cet4 cet6,"a. 富有的, 丰裕的, 充分的",4114,3015
appointment,2401,0.00033102,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 约会, 委任的职位, 委派\n[经] 任命, 派, 指定",1558,3021
preference,2402,0.00033091,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 偏爱, 优先, 喜爱物\n[计] 首选项",2642,3022
publicly,2403,0.00033036,ecdict_education,gk,gk,"adv. 公然地, 以公众名义",4133,3027
fighter,2404,0.00033025,ecdict_education,gk,gk cet6,"n. 斗士, 战士, 好战者, 战斗机",4002,3028
hunter,2405,0.00033003,ecdict_education,gk,gk,"n. 猎人, 猎犬, 追求者",5802,3030
admission,2406,0.00032992,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",2768,3031
ski,2407,0.00032982,ecdict_education,gk,gk cet4 cet6,n. 滑雪橇\nvi. 滑雪,6258,3032
educate,2408,0.00032971,ecdict_education,gk,gk cet4,"vt. 教育, 培养, 训练",3663,3033
painful,2409,0.00032960,ecdict_education,gk,gk cet4 cet6,"a. 痛苦的, 困难的, 令人烦恼的\n[医] 疼痛的",3638,3034
calculate,2410,0.00032906,ecdict_education,gk,gk cet4 toefl,"v. 计算, 预测, 计划, 打算",2168,3039
tendency,2411,0.00032895,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 趋向, 倾向\n[医] 趋向, 趋势",2377,3040
rid,2412,0.00032884,ecdict_education,gk,gk cet4 cet6 toefl,"vt. 免除, 以...清除, 使获自由, 使摆脱\n[法] 免除, 清除, 摆脱",2872,3041
uniform,2413,0.00032862,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"n. 制服\na. 统一的, 一律的, 始终如一的",3504,3043
scholarship,2414,0.00032852,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 学问, 学术成就, 奖学金",5365,3044
reservation,2415,0.00032830,ecdict_education,gk,gk cet4 cet6 ielts,"n. 保留, 预定, 保留品, 保留地\n[经] 预定, 预约, 权益保留",4139,3046
impress,2416,0.00032733,ecdict_education,gk,gk cet4 cet6,"n. 印象, 特征, 印记\nvt. 使有印象, 印, 铭刻, 传送, 影响, 强征\nvi. 给人印象",4079,3055
heel,2417,0.00032723,ecdict_education,gk,gk cet4 cet6 toefl,"n. 脚后跟, 踵, 后部, 倾侧\nvt. 尾随, 装以鞋跟, 倾侧, 追赶\nvi. 紧随, 用脚后跟传球",3535,3056
resemble,2418,0.00032701,ecdict_education,gk,gk cet4 cet6 ielts toefl,"vt. 相似, 类似",3822,3058
trick,2419,0.00032595,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍\nvt. 愚弄, 欺骗, 装饰\nvi. 哄骗, 戏弄\na. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的",3180,3068
strengthen,2420,0.00032531,ecdict_education,gk,gk cet4 cet6 ielts toefl,"vt. 加强, 变坚固\nvi. 变强, 股票上涨",2706,3074
controversial,2421,0.00032362,ecdict_education,gk,gk cet6 ielts toefl gre,"a. 争论的, 论争的, 被议论的",3444,3090
desperate,2422,0.00032352,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的",2935,3091
photographer,2423,0.00032279,ecdict_education,gk,gk,"n. 摄影师, 摄影者",3984,3098
helicopter,2424,0.00032258,ecdict_education,gk,gk cet4 cet6 ielts,n. 直升机\nvt. 由直升机运送\nvi. 乘直升机,4159,3100
modest,2425,0.00032248,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"a. 谦逊的, 羞怯的, 端庄的, 适度的\n[经] 适当的",3176,3101
agricultural,2426,0.00032216,ecdict_education,gk,gk,"a. 农业的\n[法] 农业的, 耕作的",2188,3104
delay,2427,0.00032206,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 耽搁, 迟滞\nv. 耽搁, 延迟\n[计] 延迟, 延时",2530,3105
explode,2428,0.00032196,ecdict_education,gk,gk cet4 cet6 ielts toefl,"vi. 爆炸, 爆发, 激增\nvt. 使爆炸",3934,3106
handful,2429,0.00032165,ecdict_education,gk,gk cet4 cet6 toefl,"n. 少数, 一把, 棘手事",4262,3109
punishment,2430,0.00032154,ecdict_education,gk,gk cet4 cet6,"n. 处罚, 刑罚, 惩罚\n[法] 罚, 处罚, 刑罚",3031,3110
badly,2431,0.00032144,ecdict_education,gk,gk cet4,"adv. 严重地, 恶劣地, 极度地",2078,3111
curious,2432,0.00032134,ecdict_education,gk,gk cet4 cet6 toefl,"a. 好奇的, 求知的, 古怪的",3304,3112
downtown,2433,0.00032092,ecdict_education,gk,gk ielts toefl,n. 市中心区\na. 市中心的\nadv. 往闹市区,18944,3116
absorb,2434,0.00032051,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",2879,3120
adjustment,2435,0.00032041,ecdict_education,gk,gk toefl,"n. 调整, 调节, 校正\n[化] 调节",3424,3121
eager,2436,0.00032020,ecdict_education,gk,gk cet4 cet6 toefl,"a. 热心的, 渴望的, 热望的",4501,3123
motivation,2437,0.00031990,ecdict_education,gk,gk ielts toefl,"n. 动机, 刺激, 推动\n[医] 促动, 推动, 诱导",3870,3126
restriction,2438,0.00031980,ecdict_education,gk,gk cet4 cet6 toefl,"n. 限制, 限定, 约束\n[计] 限定",2226,3127
motor,2439,0.00031867,ecdict_education,gk,gk cet4 cet6,"n. 马达, 发动机, 原动力, 汽车\na. 马达的, 发动机的, 汽车的, 发动的\nvt. 推动, 以汽车载运\nvi. 乘汽车, 驾车",1895,3138
overlook,2440,0.00031857,ecdict_education,gk,gk cet4 cet6 ielts toefl gre,"vt. 俯瞰, 远眺, 没注意到\nn. 眺望, 俯瞰到的景色",3391,3139
float,2441,0.00031847,ecdict_education,gk,gk cet4 cet6 ielts toefl,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车\nvi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动\nvt. 使漂浮, 容纳, 淹没, 发行, 实行\n[计] 浮动",3498,3140
